"crypto_name","crypto_symbol","crypto_type"
Bitcoin,BTC,""
Ethereum,ETH,""
BNB,BNB,""
Solana,SOL,""
USDC,USDC,Stablecoin
XRP,XRP,""
Dogecoin,DOGE,""
TRON,TRX,""
Toncoin,TON,""
Cardano,ADA,""
Avalanche,AVAX,""
Shiba Inu,SHIB,""
Polkadot,DOT,""
Chainlink,LINK,""
Bitcoin Cash,BCH,""
Dai,DAI,Stablecoin
UNUS SED LEO,LEO,""
Litecoin,LTC,""
NEAR Protocol,NEAR,""
Uniswap,UNI,""
Kaspa,KAS,""
Internet Computer,ICP,""
Monero,XMR,""
Pepe,PEPE,""
Aptos,APT,""
Artificial Superintelligence Alliance,FET,""
Stellar,XLM,""
Ethereum Classic,ETC,""
First Digital USD,FDUSD,Stablecoin
Sui,SUI,""
OKB,OKB,""
POL (ex-MATIC),POL,""
Stacks,STX,""
Cronos,CRO,""
Filecoin,FIL,""
Aave,AAVE,""
Immutable,IMX,""
Render,RENDER,""
Hedera,HBAR,""
Mantle,MNT,""
Bittensor,TAO,""
Arbitrum,ARB,""
Polygon,MATIC,""
VeChain,VET,""
Optimism,OP,""
Injective,INJ,""
dogwifhat,WIF,""
Cosmos,ATOM,""
Maker,MKR,""
Arweave,AR,""
Bitget Token,BGB,""
Helium,HNT,""
The Graph,GRT,""
THORChain,RUNE,""
FLOKI,FLOKI,""
Bonk,BONK,""
Theta Network,THETA,""
Fantom,FTM,""
Algorand,ALGO,""
Pyth Network,PYTH,""
KuCoin Token,KCS,""
JasmyCoin,JASMY,""
PayPal USD,PYUSD,Stablecoin
Sei,SEI,""
Bitcoin SV,BSV,""
Lido DAO,LDO,""
Celestia,TIA,""
Ondo,ONDO,""
Flow,FLOW,""
Notcoin,NOT,""
Core,CORE,""
BitTorrent [New],BTT,""
MANTRA,OM,""
USDD,USDD,Stablecoin
Starknet,STRK,""
Quant,QNT,""
EOS,EOS,""
GateToken,GT,""
Flare,FLR,""
Brett (Based),BRETT,""
MultiversX,EGLD,""
SATS,"1000SATS",""
Neo,NEO,""
Axie Infinity,AXS,""
Tether Gold,XAUt,""
Tezos,XTZ,""
Gala,GALA,""
ORDI,ORDI,""
eCash,XEC,""
Akash Network,AKT,""
Worldcoin,WLD,""
The Sandbox,SAND,""
Conflux,CFX,""
DOGS,DOGS,""
dYdX (Native),DYDX,""
Ethereum Name Service,ENS,""
Nexo,NEXO,""
TrueUSD,TUSD,Stablecoin
Wormhole,W,""
Ronin,RON,""
Popcat (SOL),POPCAT,""
Klaytn,KLAY,""
Decentraland,MANA,""
PAX Gold,PAXG,""
Mina,MINA,""
BinaryX,BNX,""
Zcash,ZEC,""
APENFT,NFT,""
Chiliz,CHZ,""
Terra Classic,LUNC,""
PancakeSwap,CAKE,""
Pendle,PENDLE,""
FTX Token,FTT,""
AIOZ Network,AIOZ,""
Synthetix,SNX,""
DeXe,DEXE,""
IOTA,IOTA,""
XDC Network,XDC,""
Ethena,ENA,""
BOOK OF MEME,BOME,""
ApeCoin,APE,""
Raydium,RAY,""
Livepeer,LPT,""
SafePal,SFP,""
Axelar,AXL,""
Astar,ASTR,""
zkSync,ZK,""
Gnosis,GNO,""
MX Token,MX,""
Compound,COMP,""
LayerZero,ZRO,""
Theta Fuel,TFUEL,""
Bitcoin Gold,BTG,""
cat in a dogs world,MEW,""
Oasis,ROSE,""
Nervos Network,CKB,""
WEMIX,WEMIX,""
Trust Wallet Token,TWT,""
Safe,SAFE,""
"1inch Network","1INCH",""
Curve DAO Token,CRV,""
Kava,KAVA,""
Blur,BLUR,""
SuperVerse,SUPER,""
IoTeX,IOTX,""
Amp,AMP,""
Mog Coin,MOG,""
JUST,JST,""
Dash,DASH,""
Kusama,KSM,""
GMT,GMT,""
Aevo,AEVO,""
ConstitutionDAO,PEOPLE,""
Sun (New),SUN,""
aelf,ELF,""
Golem,GLM,""
Holo,HOT,""
Osmosis,OSMO,""
WOO,WOO,""
Dymension,DYM,""
Jito,JTO,""
Aragon,ANT,""
Reserve Rights,RSR,""
Siacoin,SC,""
Zilliqa,ZIL,""
Manta Network,MANTA,""
Basic Attention Token,BAT,""
"0x Protocol",ZRX,""
Enjin Coin,ENJ,""
Terra,LUNA,""
Gravity,G,""
Celo,CELO,""
Tether USDt,USDT,Stablecoin
Echelon Prime,PRIME,""
Radix,XRD,""
Ankr,ANKR,""
Memecoin,MEME,""
Qtum,QTUM,""
Ravencoin,RVN,""
ether.fi,ETHFI,""
GMX,GMX,""
SPACE ID,ID,""
Arkham,ARKM,""
OriginTrail,TRAC,""
Gas,GAS,""
Convex Finance,CVX,""
Threshold,T,""
Rocket Pool,RPL,""
ssv.network,SSV,""
Mask Network,MASK,""
Flux,FLUX,""
dYdX (ethDYDX),ETHDYDX,""
io.net,IO,""
Decred,DCR,""
EthereumPoW,ETHW,""
Polymesh,POLYX,""
Altlayer,ALT,""
ZetaChain,ZETA,""
Ethena USDe,USDe,""
Zeebu,ZBU,""
Fellaz,FLZ,""
Cheelee,CHEEL,""
Fasttoken,FTN,""
Frax,FRAX,""
Beldex,BDX,""
Orbler,ORBR,""
Ondo US Dollar Yield,USDY,""
Aerodrome Finance,AERO,""
IPVERSE,IPV,""
USDB,USDB,""
Avail,AVAIL,""
Dog (Runes),DOG,""
PepeCoin,PEPECOIN,""
Galxe,GAL,""
Turbo,TURBO,""
SUNDOG,SUNDOG,""
Rollbit Coin,RLB,""
Tribe,TRIBE,""
Meta Games Coin,MGC,""
MimbleWimbleCoin,MWC,""
Osaka Protocol,OSAK,""
Aethir,ATH,""
UMA,UMA,""
Biconomy,BICO,""
Simon's Cat,CAT,""
Arcblock,ABT,""
Open Campus,EDU,""
Metis,METIS,""
Illuvium,ILV,""
Hivemapper,HONEY,""
Gomining,Gomining,""
SKALE,SKL,""
Qubic,QUBIC,""
Loopring,LRC,""
Centrifuge,CFG,""
yearn.finance,YFI,""
Blast,BLAST,""
Audius,AUDIO,""
Band Protocol,BAND,""
Harmony,ONE,""
Destra Network,DSYNC,""
USDJ,USDJ,""
SushiSwap,SUSHI,""
Tellor,TRB,""
H2O DAO,H2O,""
Chromia,CHR,""
NEM,XEM,""
VeThor Token,VTHO,""
Ontology,ONT,""
Kadena,KDA,""
SwissBorg,BORG,""
Chia,XCH,""
STASIS EURO,EURS,""
Frax Share,FXS,""
Creditcoin,CTC,""
Casper,CSPR,""
Alephium,ALPH,""
Baby Doge Coin,BabyDoge,""
Saga,SAGA,""
Moonbeam,GLMR,""
COTI,COTI,""
Alchemy Pay,ACH,""
Banana Gun,BANANA,""
Neiro Ethereum,NEIRO,""
Yield Guild Games,YGG,""
Ozone Chain,OZO,""
Vanar Chain,VANRY,""
BounceBit,BB,""
Storj,STORJ,""
Gigachad,GIGA,""
Zignaly,ZIG,""
Ponke,PONKE,""
Venom,VENOM,""
Horizen,ZEN,""
Velo,VELO,""
ICON,ICX,""
MCOIN,MCOIN,""
VerusCoin,VRSC,""
Telcoin,TEL,""
Oasys,OAS,""
PAAL AI,PAAL,""
Solar,SXP,""
Nano,XNO,""
Everscale,EVER,""
API3,API3,""
Waves,WAVES,""
Propy,PRO,""
WHY,WHY,""
Ultima,ULTIMA,""
DigiByte,DGB,""
Xai,XAI,""
JOE,JOE,""
Lisk,LSK,""
Metars Genesis,MRS,""
Pax Dollar,USDP,""
Aleph Zero,AZERO,""
VVS Finance,VVS,""
Delysium,AGI,""
Balancer,BAL,""
Paycoin,PCI,""
RSS3,RSS3,""
WAX,WAXP,""
Tokenlon Network Token,LON,""
Non-Playable Coin,NPC,""
Ontology Gas,ONG,""
iExec RLC,RLC,""
Venus,XVS,""
Merlin Chain,MERL,""
Taiko,TAIKO,""
Helium Mobile,MOBILE,""
Marlin,POND,""
Cartesi,CTSI,""
IOST,IOST,""
MobileCoin,MOB,""
Gemini Dollar,GUSD,""
Bitkub Coin,KUB,""
AI Analysis Token,AIAT,""
Status,SNT,""
Drift,DRIFT,""
"0x0.ai","0x0",""
Smooth Love Potion,SLP,""
Orca,ORCA,""
Numeraire,NMR,""
Dusk,DUSK,""
Pundi X (New),PUNDIX,""
BitMart Token,BMX,""
